0,1,2,3,4,5,6,7,8,9
95,,4,92.12967,101,,800,10,,
95,,4,92.12967,101,,800,10,,
95,,4,92.12967,101,,800,10,,
95,,4,92.12967,101,,800,10,,
95,,4,92.12967,101,,800,10,,
95,,4,92.12967,101,,800,10,,
95,,4,92.12967,101,,800,10,,
95,,4,92.12967,101,,700,10,,
94,,4,91.54274,101,,700,10,,
95,2,3,92.6391,101,,700,10,,
94,2,3,92.05217,101,,700,10,,
95,,4,92.12967,101,,700,20,,
95,,4,92.12967,101,,700,30,,
95,,4,92.12967,101,,700,60,,
95,,4,92.12967,101,,700,10,,
95,,4,92.12967,101,,700,20,,
95,,4,92.12967,101,,700,30,,
95,,4,92.12967,101,,700,60,,
95,,4,92.12967,101,,750,10,,
95,,4,92.12967,101,,750,10,,12
83.22,5.01,11.77,92.5471225,103,,500,6,780,12
82.91,4.99,11.71,92.3188268,103,,500,6,780,12
83.13,4.98,11.73,92.4542442,103,,500,6,780,
90,,10,92.731,103,,730,10,,
89.5,,10,92.437535,103,,730,10,,
89.5,,10,92.437535,103,,730,10,,
89.5,,10,92.437535,103,,730,10,,
100,,,92.707,101,,650,10,,
99,,,92.12007,101,,770,10,,
98.5,,,91.826605,101,,790,10,,
98,,,91.53314,101,,810,10,,
92,4,4,92.5664,103,,740,12,,
91.5,4,3.5,91.97827,103,,740,12,,6
77.6,9.7,9.7,90.605255,105,,260,2,750,6
80,10,10,92.3555,105,,260,2,750,12
80,10,10,92.3555,105,,500,4,750,12
80,10,10,92.3555,105,,500,4,750,12
80,10,10,92.3555,105,,500,4,750,12
80,10,10,92.3555,105,,500,4,750,12
80,10,10,92.3555,105,,500,4,750,16
80,10,10,92.3555,108,,550,5,800,16
80,10,10,92.3555,108,,550,5,800,16
80,10,10,92.3555,108,,550,5,800,16
80,10,10,92.3555,108,,550,5,800,12
80,10,10,92.3555,,,550,4,780,12
80,10,10,92.3555,,,550,4,780,12
80,10,10,92.3555,,,550,4,780,12
80,10,10,92.3555,,,550,4,780,12
80,10,10,92.3555,,,550,4,780,15
80,10,10,92.3555,110,,470,6,780,15
80,10,10,92.3555,110,,470,6,780,15
80,10,10,92.3555,110,,470,6,780,15
80,10,10,92.3555,110,,470,6,780,15
80,10,10,92.3555,110,,470,6,780,15
80,10,10,92.3555,,,450,6,750,15
80,10,10,92.3555,,,450,6,750,15
80,10,10,92.3555,,,450,6,750,15
80,10,10,92.3555,,,450,6,750,15
80,10,10,92.3555,,,450,6,750,16
80,10,10,92.3555,105,,480,6,750,16
80,10,10,92.3555,105,,480,6,750,16
80,10,10,92.3555,105,,480,6,750,16
80,10,10,92.3555,105,,480,6,750,
90,,10,92.731,101,,600,10,,
88,,10,91.55714,101,,600,10,,
86,,10,90.38328,101,,600,10,,
84,,10,89.20942,101,,600,10,,
88,,10,91.55714,101,,720,10,,
86,,10,90.38328,101,,720,10,,
94,4,2,92.5616,101,,680,10,,
94,4,2,92.5616,101,,700,10,,
94,4,2,92.5616,101,,730,10,,
94,4,2,92.5616,101,,750,10,,
94,4,2,92.5616,101,,780,10,,
94,4,2,92.5616,101,,680,10,,
94,4,2,92.5616,101,,700,10,,
94,4,2,92.5616,101,,730,10,,
94,4,2,92.5616,101,,750,10,,
94,4,2,92.5616,101,,780,10,,
100,0,0,92.708,101,,650,10,,
100,0,0,92.708,101,,680,10,,
100,0,0,92.708,101,,700,10,,
100,0,0,92.708,101,,730,10,,
100,0,0,92.708,101,,750,10,,
100,0,0,92.708,101,,770,10,,
100,0,0,92.708,101,,800,10,,
100,0,0,92.708,101,,650,10,,
100,0,0,92.708,101,,680,10,,
100,0,0,92.708,101,,700,10,,
100,0,0,92.708,101,,730,10,,
100,0,0,92.708,101,,750,10,,
100,0,0,92.708,101,,770,10,,
100,0,0,92.708,101,,800,10,,
100,0,0,92.708,101,,650,10,,
100,0,0,92.708,101,,680,10,,
100,0,0,92.708,101,,700,10,,
100,0,0,92.708,101,,730,10,,
100,0,0,92.708,101,,750,10,,
100,0,0,92.708,101,,770,10,,
100,0,0,92.708,101,,800,10,,
100,0,0,92.708,101,,650,10,,
100,0,0,92.708,101,,680,10,,
100,0,0,92.708,101,,700,10,,
100,0,0,92.708,101,,730,10,,
100,0,0,92.708,101,,750,10,,
100,0,0,92.708,101,,770,10,,
100,0,0,92.708,101,,800,10,,
100,0,0,92.708,101,,650,10,,
100,0,0,92.708,101,,680,10,,
100,0,0,92.708,101,,700,10,,
100,0,0,92.708,101,,730,10,,
100,0,0,92.708,101,,750,10,,
100,0,0,92.708,101,,770,10,,
100,0,0,92.708,101,,800,10,,
80,10,10,92.36,102,,480,3,800,12
90,5,5,92.53,102,,480,3,750,12
90,4,5,91.98,102,,480,3,800,12
90,3.5,5,91.71,102,,480,3,750,12
90,3,5,91.43,102,,480,3,800,12
90,5,4,91.94,102,,480,3,750,12
80,10,10,92.36,105,,650,5,800,10
80,10,10,92.36,105,,650,5,800,10
80,10,10,92.36,105,,650,5,800,10
80,10,10,92.36,105,,650,5,800,10
80,10,10,92.36,105,,650,5,800,10
80,10,10,92.36,105,,650,5,800,10
80,10,10,92.36,105,,650,5,800,10
80,10,10,92.36,105,,650,5,800,10
83,7,10,92.46,105,,800,15,,
83,7,10,92.46,105,,800,15,,
83,7,10,92.46,105,,800,15,,
83,7,10,92.46,105,,800,15,,
83,7,10,92.46,105,,800,15,,
83,7,10,92.46,105,,800,15,,
90,5,5,92.53,105,,,,,
90,5,5,92.53,105,,500,10,730,15
90,5,5,92.53,105,,500,10,750,15
90,5,5,92.53,105,,500,10,770,15
90,5,5,92.53,105,,500,10,730,15
90,5,5,92.53,105,,500,10,730,15
90,5,5,92.53,105,,500,10,730,15
90,0,10,,1.01,,500,5,730,10
90,0,10,,1.01,,500,5,730,10
90,0,10,,1.01,,500,5,730,10
90,0,10,,1.01,,500,5,730,10
90,0,10,,1.01,,500,5,730,10
90,0,10,,1.01,,500,5,730,10
90,0,10,,1.01,,500,5,730,10
90,0,10,,1.01,,500,5,730,10
90,0,10,,1.01,,500,5,730,10
90,0,10,,1.01,,500,5,730,10
90,0,10,,1.01,,500,5,730,10
90,0,10,,1.01,,500,5,730,10
90,0,10,,1.01,,500,5,730,10
90,5,5,,1.01,,500,5,730,10
90,7,3,,1.01,,500,5,730,10
90,10,0,,1.01,,500,5,730,10
90,0,10,,1.01,,500,5,730,10
90,0,10,,1.01,,500,5,730,10
90,0,10,,1.01,,500,5,730,10
90,0,10,,1.01,,500,5,730,10
90,0,10,,1.01,,500,5,730,10
90,0,10,,1.01,,500,5,730,10
90,0,10,,1.01,,500,5,750,10
90,0,10,,1.01,,500,5,770,10
90,0,10,,1.01,,500,5,790,10
90,0,10,,1.01,,500,5,850,10
90,0,10,,1.01,,500,5,730,10
90,0,10,,1.01,,500,5,750,10
90,0,10,,1.01,,500,5,770,10
90,0,10,,1.01,,500,5,790,10
90,0,10,,1.01,,500,5,850,10
84,6,10,,1.05,,500,5,760,15
84,6,10,,1.05,,500,5,760,15
84,6,10,,1.05,,500,5,760,15
84,6,10,,1.05,,500,5,760,15
94,0,6,,1.03,,500,3,680,12
94,0,6,,1.03,,500,3,680,12
95,0,5,,1.02,,450,4,740,12
95,0,5,,1.02,,450,4,740,12
95,0,5,,1.02,,450,4,740,12
95,0,5,,1.02,,450,4,740,12
85,5,10,,,,,,760,6
85,5,10,,,,,,760,6
85,5,10,,,,,,760,6
85,5,10,,,,,,760,6
85,5,10,,,,,,760,6
85,5,10,,,,,,760,6
100,0,0,,,,500,12,700,6
100,0,0,,1.01,,500,12,700,6
100,0,0,,1.01,,500,12,700,6
100,0,0,,1.01,,500,12,700,6
100,0,0,,1.01,,500,12,700,6
50,20,30,,1.05,,,,900,12
50,20,30,,1.05,,,,900,12
80,10,10,,1.05,,450,5,800,15
80,10,10,,1.05,,450,5,800,15
80,10,10,,1.05,,450,5,800,15
80,20,0,,1.1,,550,5,780,15
80,20,0,,1.1,,550,5,780,15
80,20,0,,1.1,,550,5,780,15
80,20,0,,1.1,,550,5,780,15
80,20,0,,1.1,,550,5,780,15
80,20,0,,1.1,,550,5,780,15
100,0,0,,1.03,,480,10,700,16
100,0,0,,1.03,,480,10,700,16
100,0,0,,1.03,,480,10,700,16
100,0,0,,1.03,,480,10,700,16
100,0,0,,1.03,,480,10,700,16
100,0,0,,1.03,,480,10,700,16
90,5,5,,1.01,,,,750,28
90,5,5,,1.01,,,,750,28
90,5,5,,1.01,,,,750,28
90,5,5,,1.01,,,,750,28
90,5,5,,1.01,,,,750,28
90,5,5,,1.01,,,,750,28
90,5,5,,1.01,,,,750,28
90,5,5,,1.01,,,,750,28
90,5,5,,1.01,,,,750,28
90,5,5,,1.01,,,,750,28
90,5,5,,1.01,,,,750,28
90,5,5,,1.01,,,,750,28
90,5,5,,1.01,,,,750,28
80,15,5,,1.05,,550,5,750,12
80,15,5,,1.05,,550,5,750,12
