0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
80.0,10.0,10.0,92.3555,105,0.5,74.0,183.84,74.0,2.36,5.0,770.0,78.6,139.0,66.0,6.0,500.0,4.0,750.0,12.0,,,2.879934,14.231806,1.647237518,102.22466990000001,1.76528,,
80.0,10.0,10.0,92.3555,105,1.0,74.0,183.84,74.0,2.36,5.0,770.0,78.6,139.0,66.0,6.0,500.0,4.0,750.0,12.0,,,2.880388,14.233239999999999,1.647143834,102.2672058,1.4943,,
80.0,10.0,10.0,92.3555,105,2.0,74.0,183.84,74.0,2.36,5.0,770.0,78.6,139.0,66.0,6.0,500.0,4.0,750.0,12.0,,,2.882742,14.240798000000002,1.64667274,102.4888238,1.41264,,
80.0,10.0,10.0,92.3555,108,,,,,,,,,,,,550.0,5.0,800.0,16.0,,,2.86991,14.20054,1.649359504,101.29127700000001,1.48809,,
80.0,10.0,10.0,92.3555,108,5.0,19.0,39.098,19.0,0.82,3.0,418.8,48.4,243.0,138.0,1.0,550.0,5.0,800.0,16.0,,,2.8766599999999998,14.21925,1.647657353,101.9023949,1.51356,,
80.0,10.0,10.0,92.3555,108,5.0,22.0,47.867,22.0,1.54,5.0,658.8,7.6,147.0,74.0,3.0,550.0,5.0,800.0,16.0,,,2.8708400000000003,14.20788,1.6496774459999999,101.4093244,1.52509,,
80.0,10.0,10.0,92.3555,108,,,,,,,,,,,,550.0,5.0,800.0,16.0,,,2.8792400000000002,14.24974,1.649710803,102.30416290000001,1.54482,,
80.0,10.0,10.0,92.3555,100,,,,,,,,,,,,550.0,4.0,780.0,12.0,,,2.87121,14.20621,1.649270981,101.42354300000001,2.195,,
80.0,10.0,10.0,92.3555,100,0.01,12.0,24.305,12.0,1.31,3.0,737.7,0.0,145.0,72.0,2.0,550.0,4.0,780.0,12.0,,,2.86898,14.192960000000001,1.649013471,101.1716078,2.367,,
80.0,10.0,10.0,92.3555,100,0.03,12.0,24.305,12.0,1.31,3.0,737.7,0.0,145.0,72.0,2.0,550.0,4.0,780.0,12.0,,,2.86885,14.216220000000002,1.651790787,101.32822850000001,2.386,,
80.0,10.0,10.0,92.3555,100,0.05,12.0,24.305,12.0,1.31,3.0,737.7,0.0,145.0,72.0,2.0,550.0,4.0,780.0,12.0,,,2.8688,14.198929999999999,1.649810606,101.20146379999998,2.344,,
