0,1,2,3,4,5,6,7,8,9
95.0,2.7595425966830005,4.0,92.12966999999999,101.0,861.5173330085144,800.0,10.0,789.3302904003052,10.19382643254951
95.0,2.978112917272978,4.0,92.12966999999999,101.0,859.6970832249337,800.0,10.0,793.0995880080809,9.515350641312248
95.0,2.868618479037604,4.0,92.12966999999999,101.0,862.7331545879978,800.0,10.0,787.0895553285883,10.755097302941733
95.0,2.2975187930902,4.0,92.12966999999999,101.0,854.1757583202483,800.0,10.0,788.8186893960929,10.01918355426991
95.0,3.2132210283468385,4.0,92.12966999999999,101.0,862.607595593154,800.0,10.0,794.2520883177078,10.106361058068405
95.0,2.4692936243897305,4.0,92.12966999999999,101.0,860.594165661765,800.0,10.0,788.4332139943297,9.774450736179745
95.0,2.8791364923225187,4.0,92.12966999999999,101.0,862.3231753726423,800.0,10.0,792.9705319424166,9.450778564552015
95.0,2.7652191730128197,4.0,92.12966999999999,101.0,862.9250667459653,700.0,10.0,789.0922427106468,10.985254257089725
94.0,4.350627163588438,4.0,91.54274000000001,101.0,873.227338364634,700.0,10.0,799.3338514956814,10.918978020624415
95.0,2.0,3.0,92.6391,101.0,853.742099542509,700.0,10.0,773.2230953758577,12.693517854003465
94.0,2.0,3.0,92.05216999999999,101.0,859.8243507453495,700.0,10.0,786.4869004909747,11.337903445823095
95.0,3.3931422011918384,4.0,92.12966999999999,101.0,861.7093655774737,700.0,20.0,799.2476434006885,10.008142409040246
95.0,3.0305995178603284,4.0,92.12966999999999,101.0,859.3082735297278,700.0,30.0,793.3316959803435,11.389999413143446
95.0,2.5343443003504436,4.0,92.12966999999999,101.0,862.5370809761514,700.0,60.0,790.4024912068797,10.912360486876512
95.0,4.293688361654906,4.0,92.12966999999999,101.0,867.0627447085268,700.0,10.0,798.3153076257319,11.001264591371354
95.0,4.102781158545148,4.0,92.12966999999999,101.0,866.1632876448671,700.0,20.0,799.5983027793259,10.027091692062598
95.0,1.8483275699547388,4.0,92.12966999999999,101.0,859.3207542160118,700.0,30.0,781.5972128807222,11.612786245270476
