0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,Unnamed: 27,Unnamed: 28
80.0,10.0,10.0,92.3555,105,0.25,6.0,183.84,74.0,2.36,5.0,770.0,78.6,139.0,66.0,6.0,500.0,4.0,750.0,12.0,,,2.878856,14.230316,1.6476818106451543,102.13746155016341,1.94545,,
80.0,10.0,10.0,92.3555,105,0.5,6.0,183.84,74.0,2.36,5.0,770.0,78.6,139.0,66.0,6.0,500.0,4.0,750.0,12.0,,,2.879934,14.231806,1.647237517711633,102.22466991372956,1.76528,,
80.0,10.0,10.0,92.3555,105,1.0,6.0,183.84,74.0,2.36,5.0,770.0,78.6,139.0,66.0,6.0,500.0,4.0,750.0,12.0,,,2.880388,14.23324,1.6471438338631232,102.26720578816867,1.4943,,
80.0,10.0,10.0,92.3555,105,2.0,6.0,183.84,74.0,2.36,5.0,770.0,78.6,139.0,66.0,6.0,500.0,4.0,750.0,12.0,,,2.882742,14.240798,1.6466727395884428,102.48882380535471,1.41264,,
80.0,10.0,10.0,92.3555,108,,,,,,,,,,,,550.0,5.0,800.0,16.0,,,2.86991,14.20054,1.649359503724275,101.29127696279423,1.48809,,
80.0,10.0,10.0,92.3555,108,5.0,9.0,39.098,19.0,0.82,3.0,418.8,48.4,243.0,138.0,1.0,550.0,5.0,800.0,16.0,,,2.87666,14.21925,1.647657352624224,101.90239485834438,1.51356,,
80.0,10.0,10.0,92.3555,108,5.0,2.0,47.867,22.0,1.54,5.0,658.8,7.6,147.0,74.0,3.0,550.0,5.0,800.0,16.0,,,2.87084,14.20788,1.6496774463223307,101.40932442592182,1.52509,,
80.0,10.0,10.0,92.3555,108,,,,,,,,,,,,550.0,5.0,800.0,16.0,,,2.87924,14.24974,1.6497108033138375,102.30416293962686,1.54482,,
80.0,10.0,10.0,92.3555,100,,,,,,,,,,,,550.0,4.0,780.0,12.0,,,2.87121,14.20621,1.6492709809917536,101.42354304573904,2.195,,
80.0,10.0,10.0,92.3555,100,0.01,10.0,24.305,12.0,1.31,3.0,737.7,0.0,145.0,72.0,2.0,550.0,4.0,780.0,12.0,,,2.86898,14.19296,1.6490134705249484,101.17160784572016,2.367,,
80.0,10.0,10.0,92.3555,100,0.03,10.0,24.305,12.0,1.31,3.0,737.7,0.0,145.0,72.0,2.0,550.0,4.0,780.0,12.0,,,2.86885,14.21622,1.651790787249246,101.32822854223186,2.386,,
80.0,10.0,10.0,92.3555,100,0.05,10.0,24.305,12.0,1.31,3.0,737.7,0.0,145.0,72.0,2.0,550.0,4.0,780.0,12.0,,,2.8688,14.19893,1.6498106060606064,101.20146379912605,2.344,,
80.0,10.0,10.0,92.3555,100,0.06,10.0,24.305,12.0,1.31,3.0,737.7,0.0,145.0,72.0,2.0,550.0,4.0,780.0,12.0,,,2.8716,14.2047,1.6488717091516927,101.44031449335014,2.296,,
80.0,10.0,10.0,92.3555,110,,,,,,,,,,,,470.0,6.0,780.0,15.0,,,2.8691,14.1817,1.6476363087146955,101.09980005624172,,,
80.0,10.0,10.0,92.3555,110,1.0,11.0,88.90585,39.0,1.22,1.0,600.0,29.6,212.0,90.0,3.0,470.0,6.0,780.0,15.0,,,2.8698,14.1924,1.6484772458011008,101.22545488422219,,,
80.0,10.0,10.0,92.3555,110,2.0,11.0,88.90585,39.0,1.22,1.0,600.0,29.6,212.0,90.0,3.0,470.0,6.0,780.0,15.0,,,2.8703,14.195,1.648492027546482,101.27928123398837,,,
80.0,10.0,10.0,92.3555,110,3.0,11.0,88.90585,39.0,1.22,1.0,600.0,29.6,212.0,90.0,3.0,470.0,6.0,780.0,15.0,,,2.8689,14.1914,1.648878199542217,101.15484616984811,,,
80.0,10.0,10.0,92.3555,110,4.0,11.0,88.90585,39.0,1.22,1.0,600.0,29.6,212.0,90.0,3.0,470.0,6.0,780.0,15.0,,,2.8697,14.1941,1.6487321555098675,101.23052466169126,,,
