0,1,2,3,4,5,6,7,8,9,10,11
179.8,,,141.3,78.58731924,,,,,,2.75,4.2
175.91,,,160.42,91.19436075,,,,,,2.75,4.2
,,,,,189,126.7,67.03703704,,,3,4.5
,,,,,,,,,,3,4.5
,,,,,210.9,170.9,81.03366524,,,3,4.5
,,,,,,,,,,3,4.5
,,,,,,,,,,3,4.5
,,,,,192,168.6,87.8125,,,2.8,4.3
,,,,,183,178,97.26775956,,,2.8,4.3
,,,,,182,181,99.45054945,,,2.8,4.3
,,,,,177,176,99.43502825,,,2.8,4.3
,,,,,173,172,99.42196532,,,2.8,4.3
182,144.3,79.28571429,,,185.7,143.6,77.32902531,,,3,4.3
178,155.9,87.58426966,,,179.6,159.5,88.80846325,,,3,4.3
169,152.3,90.1183432,,,171.9,162.3,94.41535777,,,3,4.3
159,140,88.05031447,,,164.8,157.1,95.3276699,,,3,4.3
,,,,,216,188.2,87.12962963,30,30,2.7,4.3
,,,,,210,193,91.9047619,30,30,2.7,4.3
,,,,,207,191.7,92.60869565,30,30,2.7,4.3
,,,,,199,188.8,94.87437186,30,30,2.7,4.3
,,,,,217,200,92.16589862,45,45,2.7,4.3
,,,,,214,183,85.51401869,45,45,2.7,4.3
,,,,,240,213.36,88.9,30,30,2.7,4.3
,,,,,238.1,206.6708,86.8,30,30,2.7,4.3
,,,,,234.5,192.29,82,30,30,2.7,4.3
,,,,,230.1,185.4606,80.6,30,30,2.7,4.3
,,,,,220.4,162.8756,73.9,30,30,2.7,4.3
,,,,,218.5,198.398,90.8,30,30,2.7,4.3
,,,,,220.9,206.3206,93.4,30,30,2.7,4.3
,,,,,228.5,216.618,94.8,30,30,2.7,4.3
,,,,,225.7,210.3524,93.2,30,30,2.7,4.3
,,,,,223.5,205.8435,92.1,30,30,2.7,4.3
,,,,,239.8,179.6102,74.9,30,30,2.7,4.3
,,,,,235.6,174.5796,74.1,30,30,2.7,4.3
,,,,,219.8,156.058,71,30,30,2.7,4.3
,,,,,208,101.504,48.8,30,30,2.7,4.3
,,,,,197.2,78.4856,39.8,30,30,2.7,4.3
,,,,,,,,30,30,2.7,4.3
,,,,,,,,30,30,2.7,4.3
,,,,,235.2,182.7504,77.7,30,30,2.7,4.3
,,,,,230,170.43,74.1,30,30,2.7,4.3
,,,,,218.4,160.524,73.5,30,30,2.7,4.3
,,,,,214,115.774,54.1,30,30,2.7,4.3
,,,,,206.2,90.9342,44.1,30,30,2.7,4.3
,,,,,,,,30,30,2.7,4.3
,,,,,,,,30,30,2.7,4.3
,,,,,235.6,191.0716,81.1,30,30,2.7,4.3
,,,,,227.8,185.8848,81.6,30,30,2.7,4.3
,,,,,230.1,191.2131,83.1,30,30,2.7,4.3
,,,,,224.6,182.8244,81.4,30,30,2.7,4.3
,,,,,226,182.834,80.9,30,30,2.7,4.3
,,,,,215.4,173.8278,80.7,30,30,2.7,4.3
,,,,,208.1,140.6756,67.6,30,30,2.7,4.3
,,,,,235.4,199.8546,84.9,30,30,2.7,4.3
,,,,,239.6,204.6184,85.4,30,30,2.7,4.3
,,,,,234.8,204.276,87,30,30,2.7,4.3
,,,,,237.8,200.2276,84.2,30,30,2.7,4.3
,,,,,229.1,189.0075,82.5,30,30,2.7,4.3
,,,,,207.5,166,80,30,30,2.7,4.3
,,,,,199.8,127.6722,63.9,30,30,2.7,4.3
,,,,,230.4,183.8592,79.8,30,30,2.7,4.3
,,,,,236.5,196.5315,83.1,30,30,2.7,4.3
,,,,,232.4,192.1948,82.7,30,30,2.7,4.3
,,,,,231.9,188.9985,81.5,30,30,2.7,4.3
,,,,,221.8,172.1168,77.6,30,30,2.7,4.3
,,,,,224.7,173.2437,77.1,30,30,2.7,4.3
,,,,,220.6,166.1118,75.3,30,30,2.7,4.3
,,,,,178,165.54,93,30,30,2.8,4.2
,,,,,205,182.45,89,30,30,2.8,4.2
,,,,,185,175.75,95,30,30,2.8,4.2
,,,,,194,186.24,96,30,30,2.8,4.2
,,,,,175,169.75,97,30,30,2.8,4.2
