0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
95.0,0.0,5.0,92.719,101.0,1.0,13.0,26.981999999999996,13.0,1.61,1.0,577.5,41.8,118.0,53.0,3.0,506.9031798061346,6.1018241192013125,800.0,10.0,1.406946121314526,2.0
95.0,0.0,5.0,92.719,101.0,1.0,22.0,47.867,22.0,1.54,5.0,658.8,7.6,147.0,74.0,3.0,478.92716338331076,4.670467797556639,800.0,10.0,1.6789985950800093,2.0
95.0,0.0,5.0,92.719,101.0,1.0,73.0,180.94788,73.0,1.5,2.0,761.0,31.0,146.0,72.0,5.0,500.0053573174662,5.003875688814448,800.0,10.0,1.3739307192032937,2.0
95.0,0.0,5.0,92.719,101.0,1.0,51.0,121.76,51.0,2.05,2.0,834.0,103.2,140.0,76.0,5.0,499.42995734816753,8.322757212622195,800.0,10.0,1.354534486815042,2.0
95.0,0.0,5.0,92.719,101.0,1.0,41.0,92.90638,41.0,1.6,1.0,652.1,87.99999999999999,146.0,72.0,5.0,507.6402882710204,8.029421432115386,800.0,10.0,1.3816094419309004,2.0
95.0,0.0,5.0,92.719,101.0,1.0,74.0,183.84,74.0,2.36,5.0,770.0,78.6,139.0,66.0,6.0,502.2113862741352,4.046991547917098,800.0,10.0,1.3657545477269235,2.0
95.0,0.0,5.0,92.719,101.0,1.0,42.0,95.95000000000002,42.0,2.16,7.0,684.3,72.1,139.0,69.0,6.0,500.03208358410245,4.9222515859519795,800.0,10.0,1.47610569959242,2.0
95.0,0.0,5.0,92.719,101.0,1.0,13.0,26.981999999999996,13.0,1.61,1.0,577.5,41.8,118.0,53.0,3.0,500.31319985071184,6.552390365069921,700.0,10.0,1.3954736345364682,2.0
95.0,0.0,5.0,92.719,101.0,1.2508095389576792,46.73763021293044,110.99632077355834,46.73763021228503,1.9723645837517256,7.0671185840426745,765.8355511027399,117.27832583856038,144.97357877042677,138.22511147473264,5.5201654338726,492.21284044898647,4.069847032935955,700.0,10.0,1.4872389117739324,2.0
95.0,2.0,3.0,92.6391,101.0,1.1926908179902085,13.003575560296705,26.985548735139858,13.003575560280446,1.6098664880729576,1.1131956930899287,579.2662251771478,41.364008712707296,118.20899992893612,53.1824277788609,2.9891420555099395,503.92403804683073,7.916430113977361,700.0,10.0,1.4200306276108579,2.0
95.0,2.0,3.0,92.6391,101.0,1.0,42.0,95.95000000000002,42.0,2.16,7.0,684.3,72.1,139.0,69.0,6.0,481.0859832917663,4.7819722020262745,700.0,10.0,1.5144132721341241,2.0
95.0,0.0,5.0,92.719,101.0,1.0,13.0,26.981999999999996,13.0,1.61,1.0,577.5,41.8,118.0,53.0,3.0,509.09766469745284,7.4101463978089,700.0,20.0,1.4082991412205732,2.0
95.0,0.0,5.0,92.719,101.0,1.0,13.0,26.981999999999996,13.0,1.61,1.0,577.5,41.8,118.0,53.0,3.0,491.93110837367755,7.562609002798739,700.0,30.0,1.4116194910026791,2.0
95.0,0.0,5.0,92.719,101.0,1.0,13.0,26.981999999999996,13.0,1.61,1.0,577.5,41.8,118.0,53.0,3.0,495.15848958672956,7.993819295850359,700.0,60.0,1.4245233255004097,2.0
95.0,0.0,5.0,92.719,101.0,1.0,42.0,95.95000000000002,42.0,2.16,7.0,684.3,72.1,139.0,69.0,6.0,497.7166741284618,4.750875684190084,700.0,10.0,1.4783356138481356,2.0
95.0,0.0,5.0,92.719,101.0,1.0,42.0,95.95000000000002,42.0,2.16,7.0,684.3,72.1,139.0,69.0,6.0,494.2907222010207,4.619418430531826,700.0,20.0,1.484687950110443,2.0
95.0,0.0,5.0,92.719,101.0,1.0,42.0,95.95000000000002,42.0,2.16,7.0,684.3,72.1,139.0,69.0,6.0,514.2059350649852,4.701472784699171,700.0,30.0,1.4297972191876154,2.0
