0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
95,0,5,92.719,101,1,13,26.982,13,1.61,1,577.5,41.8,118,53,3,,,800,10,,2
95,0,5,92.719,101,1,22,47.867,22,1.54,5,658.8,7.6,147,74,3,,,800,10,,2
95,0,5,92.719,101,1,73,180.94788,73,1.5,2,761,31,146,72,5,,,800,10,,2
95,0,5,92.719,101,1,51,121.76,51,2.05,2,834,103.2,140,76,5,,,800,10,,2
95,0,5,92.719,101,1,41,92.90638,41,1.6,1,652.1,88,146,72,5,,,800,10,,2
95,0,5,92.719,101,1,74,183.84,74,2.36,5,770,78.6,139,66,6,,,800,10,,2
95,0,5,92.719,101,1,42,95.95,42,2.16,7,684.3,72.1,139,69,6,,,800,10,,2
95,0,5,92.719,101,1,13,26.982,13,1.61,1,577.5,41.8,118,53,3,,,700,10,,2
95,0,5,92.719,101,,,,,,,,,,,,,,700,10,,2
95,2,3,92.6391,101,,,,,,,,,,,,,,700,10,,2
95,2,3,92.6391,101,1,42,95.95,42,2.16,7,684.3,72.1,139,69,6,,,700,10,,2
95,0,5,92.719,101,1,13,26.982,13,1.61,1,577.5,41.8,118,53,3,,,700,20,,2
95,0,5,92.719,101,1,13,26.982,13,1.61,1,577.5,41.8,118,53,3,,,700,30,,2
95,0,5,92.719,101,1,13,26.982,13,1.61,1,577.5,41.8,118,53,3,,,700,60,,2
95,0,5,92.719,101,1,42,95.95,42,2.16,7,684.3,72.1,139,69,6,,,700,10,,2
95,0,5,92.719,101,1,42,95.95,42,2.16,7,684.3,72.1,139,69,6,,,700,20,,2
95,0,5,92.719,101,1,42,95.95,42,2.16,7,684.3,72.1,139,69,6,,,700,30,,2
95,0,5,92.719,101,1,42,95.95,42,2.16,7,684.3,72.1,139,69,6,,,700,60,,2
95,0,5,92.719,101,1,13,26.982,13,1.61,1,577.5,41.8,118,53,3,,,750,10,,2
95,0,5,92.719,101,1,42,95.95,42,2.16,7,684.3,72.1,139,69,6,,,750,10,,2
83.22,5.01,11.77,92.5471225,103,,,,,,,,,,,,500,6,780,12,,3
82.91,4.99,11.71,92.3188268,103,0.39,13,26.982,13,1.61,1,577.5,41.8,118,53,3,500,6,780,12,,3
83.13,4.98,11.73,92.4542442,103,,,,,,,,,,,,500,6,780,12,,3
90,0,10,92.731,103,,,,,,,,,,,,,,730,10,,
90,0,10,92.731,103,0.5,42,95.95,42,2.16,7,684.3,72.1,139,69,6,,,730,10,,
90,0,10,92.731,103,0.5,5,10.81,5,2.04,2,800.6,26.7,87,27,3,,,730,10,,
90,0,10,92.731,103,,,,,,,,,,,,,,730,10,,
100,0,0,92.707,101,,,,,,,,,,,,,,650,10,,
100,0,0,92.707,101,1,74,183.84,74,2.36,5,770,78.6,139,66,6,,,770,10,,
100,0,0,92.707,101,1.5,74,183.84,74,2.36,5,770,78.6,139,66,6,,,790,10,,
100,0,0,92.707,101,2,74,183.84,74,2.36,5,770,78.6,139,66,6,,,810,10,,
