0,1,2,3,4,5,6,7,8,9,10,11
,,,,,224.6,182.8244,81.4,30.0,30.0,2.7,4.3
,,,,,226.0,182.834,80.9,30.0,30.0,2.7,4.3
,,,,,215.4,173.8278,80.7,30.0,30.0,2.7,4.3
,,,,,208.1,140.6756,67.6,30.0,30.0,2.7,4.3
,,,,,235.4,199.8546,84.9,30.0,30.0,2.7,4.3
,,,,,239.6,204.6184,85.4,30.0,30.0,2.7,4.3
,,,,,234.8,204.27599999999998,87.0,30.0,30.0,2.7,4.3
,,,,,237.8,200.2276,84.2,30.0,30.0,2.7,4.3
,,,,,229.1,189.0075,82.5,30.0,30.0,2.7,4.3
,,,,,207.5,166.0,80.0,30.0,30.0,2.7,4.3
,,,,,199.8,127.6722,63.9,30.0,30.0,2.7,4.3
,,,,,230.4,183.8592,79.8,30.0,30.0,2.7,4.3
,,,,,236.5,196.5315,83.1,30.0,30.0,2.7,4.3
,,,,,232.4,192.1948,82.7,30.0,30.0,2.7,4.3
,,,,,231.9,188.9985,81.5,30.0,30.0,2.7,4.3
,,,,,221.8,172.1168,77.6,30.0,30.0,2.7,4.3
,,,,,224.7,173.2437,77.1,30.0,30.0,2.7,4.3
,,,,,220.6,166.1118,75.3,30.0,30.0,2.7,4.3
,,,,,178.0,165.54,93.0,30.0,30.0,2.8,4.2
,,,,,205.0,182.45,89.0,30.0,30.0,2.8,4.2
,,,,,185.0,175.75,95.0,30.0,30.0,2.8,4.2
,,,,,194.0,186.24,96.0,30.0,30.0,2.8,4.2
,,,,,175.0,169.75,97.0,30.0,30.0,2.8,4.2
,,,,,179.0,175.42,98.0,30.0,30.0,2.8,4.2
198.0,169.68599999999998,85.7,,,,,,25.0,25.0,3.0,4.3
197.0,177.10299999999998,89.9,,,,,,25.0,25.0,3.0,4.3
199.0,167.757,84.3,,,,,,25.0,25.0,3.0,4.3
196.0,149.156,76.1,,,,,,25.0,25.0,3.0,4.3
203.0,142.303,70.1,,,,,,50.0,50.0,3.0,4.3
201.0,177.081,88.1,,,,,,50.0,50.0,3.0,4.3
200.0,161.2,80.6,,,,,,50.0,50.0,3.0,4.3
203.0,111.853,55.1,,,,,,50.0,50.0,3.0,4.3
180.0,158.04,87.8,,,,,,25.0,25.0,2.7,4.3
181.0,175.93200000000002,97.2,,,,,,25.0,25.0,2.7,4.3
180.0,178.2,99.0,,,,,,25.0,25.0,2.7,4.3
176.0,172.48,98.0,,,,,,25.0,25.0,2.7,4.3
176.0,,,,,,,,25.0,25.0,2.7,4.3
174.0,,,,,,,,25.0,25.0,2.7,4.3
,,88.2,,,,,,30.0,30.0,3.0,4.3
216.0,206.06400000000002,95.4,,,,,,30.0,30.0,3.0,4.3
214.0,206.51,96.5,,,,,,30.0,30.0,3.0,4.3
214.0,196.666,91.9,,,,,,30.0,30.0,3.0,4.3
218.0,195.328,89.6,,,,,,30.0,30.0,3.0,4.3
213.0,197.451,92.7,,,,,,30.0,30.0,3.0,4.3
208.0,191.984,92.3,,,,,,30.0,30.0,3.0,4.3
,,,,,210.0,165.48,78.8,30.0,30.0,2.7,4.3
,,,,,210.0,173.25,82.5,30.0,30.0,2.7,4.3
,,,,,210.0,175.77,83.7,30.0,30.0,2.7,4.3
,,,,,220.0,206.8,94.0,30.0,30.0,2.7,4.3
,,,,,220.0,213.4,97.0,30.0,30.0,2.7,4.3
,,,,,220.0,208.78,94.9,30.0,30.0,2.7,4.3
,,,,,220.0,145.42,66.1,60.0,60.0,2.7,4.3
,,,,,220.0,176.22,80.1,60.0,60.0,2.7,4.3
,,,,,220.0,176.44,80.2,60.0,60.0,2.7,4.3
,,,,,230.0,209.76,91.2,60.0,60.0,2.7,4.3
,,,,,230.0,215.05,93.5,60.0,60.0,2.7,4.3
,,,,,230.0,214.13,93.1,60.0,60.0,2.7,4.3
,,,,,210.0,205.0,97.61904762,30.0,30.0,2.7,4.3
,,,,,190.0,175.0,92.10526316,30.0,30.0,2.7,4.3
,,,,,210.0,180.0,85.71428571,30.0,30.0,2.7,4.3
,,,,,210.0,160.0,76.19047619,30.0,30.0,2.7,4.3
,,,,,200.0,140.0,70.0,30.0,30.0,2.7,4.3
,,,,,185.0,130.0,70.27027027,30.0,30.0,2.7,4.3
,,,,,175.0,130.0,74.28571429,30.0,30.0,2.7,4.3
,,,,,220.0,211.2,96.0,30.0,30.0,2.7,4.3
,,,,,220.0,211.2,96.0,30.0,30.0,2.7,4.3
,,,,,210.0,201.6,96.0,30.0,30.0,2.7,4.3
,,,,,205.0,196.8,96.0,30.0,30.0,2.7,4.3
,,,,,185.0,145.0,78.37837838,30.0,30.0,2.7,4.3
,,,,,228.3,186.5211,81.7,25.0,25.0,3.0,4.3
,,,,,229.5,202.1895,88.1,25.0,25.0,3.0,4.4
,,,,,228.6,195.453,85.5,25.0,25.0,3.0,4.5
,,,,,226.1,192.6372,85.2,25.0,25.0,3.0,4.6
,,,,,205.0,180.0,87.80487805,25.0,25.0,2.8,4.4
,,,,,205.0,200.0,97.56097561,25.0,25.0,2.8,4.4
,,,,,220.0,,,30.0,30.0,2.7,4.6
,,,,,200.0,,,30.0,30.0,2.7,4.6
,,,,,220.0,,,55.0,55.0,2.7,4.6
,,,,,200.0,,,55.0,55.0,2.7,4.6
,,,,,185.0,148.0,80.0,30.0,30.0,3.0,4.3
,,,,,180.0,171.0,95.0,30.0,30.0,3.0,4.3
,,,,,195.0,142.35,73.0,45.0,45.0,3.0,4.3
,,,,,180.0,172.8,96.0,45.0,45.0,3.0,4.3
190.0,175.0,92.10526316,140.0,73.68421053,,,,30.0,30.0,3.0,4.3
178.0,175.0,98.31460674,170.0,95.50561798,,,,30.0,30.0,3.0,4.3
219.8,132.3196,60.2,,,,,,25.0,25.0,3.0,4.3
213.78,133.48423200000002,62.44,,,,,,25.0,25.0,3.0,4.3
202.6,134.9316,66.6,,,,,,25.0,25.0,3.0,4.3
185.4,135.342,73.0,,,,,,25.0,25.0,3.0,4.3
228.4,130.188,57.0,,,,,,25.0,25.0,3.0,4.3
,,,,,165.0,140.25,85.0,30.0,30.0,3.0,4.3
,,,,,160.0,144.0,90.0,30.0,30.0,3.0,4.3
180.0,160.0,88.88888889,130.0,72.22222222,,,,25.0,25.0,2.8,4.3
180.0,170.0,94.44444444,160.0,88.88888889,,,,25.0,25.0,2.8,4.3
170.0,135.0,79.41176471,115.0,67.64705882,,,,25.0,25.0,2.8,4.3
180.0,160.0,88.88888889,146.97,81.65,,,,25.0,25.0,2.7,4.3
195.0,185.0,94.87179487,160.329,82.22,,,,25.0,25.0,2.7,4.3
205.0,195.0,95.12195122,179.457,87.54,,,,25.0,25.0,2.7,4.3
180.0,160.0,88.88888889,149.454,83.03,,,,25.0,25.0,2.7,4.3
210.0,185.0,88.09523809999999,164.40900000000002,78.29,,,,60.0,60.0,2.7,4.3
220.0,200.0,90.90909091,187.81400000000002,85.37,,,,60.0,60.0,2.7,4.3
,,,,,200.0,125.0,62.5,25.0,25.0,2.7,4.3
,,,,,195.0,178.035,91.3,25.0,25.0,2.7,4.3
,,,,,210.0,150.0,71.42857143,25.0,25.0,2.7,4.3
,,,,,200.0,175.0,87.5,25.0,25.0,2.7,4.3
,,,,,190.0,140.0,73.68421053,25.0,25.0,2.7,4.3
,,,,,180.0,175.0,97.22222222,25.0,25.0,2.7,4.3
,,,,,,,,30.0,30.0,2.7,4.3
207.2,191.66,92.5,,,,,,30.0,30.0,2.7,4.3
,,,,,215.2,206.8072,96.1,30.0,30.0,2.7,4.3
207.8,192.4228,92.6,,,,,,30.0,30.0,2.7,4.3
,,,,,216.0,208.00799999999998,96.3,30.0,30.0,2.7,4.3
205.9,192.7224,93.6,,,,,,30.0,30.0,2.7,4.3
,,,,,213.8,207.8136,97.2,30.0,30.0,2.7,4.3
204.0,192.576,94.4,,,,,,30.0,30.0,2.7,4.3
,,,,,212.4,208.7892,98.3,30.0,30.0,2.7,4.3
191.5,177.1375,92.5,,,,,,30.0,30.0,2.7,4.3
,,,,,198.7,190.752,96.0,30.0,30.0,2.7,4.3
172.8,151.8912,87.9,,,,,,30.0,30.0,2.7,4.3
,,,,,183.2,170.7424,93.2,30.0,30.0,2.7,4.3
140.0,93.8,67.0,,,,,,25.0,25.0,2.5,4.5
150.0,127.5,85.0,,,,,,25.0,25.0,2.5,4.5
174.0,168.78,97.0,,,,,,25.0,25.0,3.0,4.3
160.0,156.8,98.0,,,,,,25.0,25.0,3.0,4.3
158.0,154.84,98.0,,,,,,25.0,25.0,3.0,4.3
153.0,148.41,97.0,,,,,,25.0,25.0,3.0,4.3
192.0,163.2,85.0,,,,,,25.0,25.0,3.0,4.3
191.0,175.72,92.0,,,,,,25.0,25.0,3.0,4.3
,,,,,173.0,131.0,75.72254335,25.0,25.0,2.7,4.3
,,,,,187.0,140.0,74.86631016,25.0,25.0,2.7,4.3
,,,,,191.0,158.0,82.72251309,25.0,25.0,2.7,4.3
,,,,,179.0,119.0,66.48044693,25.0,25.0,2.7,4.3
183.91,145.99,79.38121907,,,215.8,109.8,50.88044486,25.0,25.0,2.8,4.35
188.72,154.58,81.9097075,,,212.0,,,25.0,25.0,2.8,4.36
187.3,154.78,82.63747998,,,213.3,,,25.0,25.0,2.8,4.37
192.49,162.02,84.17060627,,,214.8,132.5,61.68528864,25.0,25.0,2.8,4.38
214.0,127.0,59.34579439,,,230.0,200.0,86.95652174,25.0,25.0,2.5,4.3
226.0,195.0,86.28318584,,,230.0,210.0,91.30434783,25.0,25.0,2.5,4.3
,,,,,213.0,,,60.0,60.0,2.7,4.5
,,,,,225.0,,,60.0,60.0,2.7,4.5
230.0,157.55,68.5,,,,,,50.0,50.0,0.0,3.8
222.0,201.132,90.6,,,,,,50.0,50.0,0.0,3.8
,,,,,215.0,165.0,76.74418605,30.0,30.0,2.7,4.3
,,,,,215.0,192.0,89.30232558,30.0,30.0,2.7,4.3
,,,,,215.0,212.0,98.60465116,30.0,30.0,2.7,4.3
,,,,,215.0,212.0,98.60465116,30.0,30.0,2.7,4.3
187.0,150.0,80.21390374,,,,,,30.0,30.0,3.0,4.3
192.0,174.0,90.625,,,,,,30.0,30.0,3.0,4.3
191.0,164.0,85.86387435,,,,,,30.0,30.0,3.0,4.3
160.0,120.0,83.9,90.0,56.25,175.0,92.0,52.57142857,25.0,25.0,2.8,4.3
165.0,160.0,66.6,140.0,84.84848485,195.0,135.0,69.23076923,25.0,25.0,2.8,4.3
168.0,170.0,95.6,160.0,95.23809524,192.0,181.0,94.27083333,25.0,25.0,2.8,4.3
159.0,130.0,82.8,120.0,75.47169811,175.0,142.0,81.14285714,25.0,25.0,2.8,4.3
,,,,,196.821516,161.0,81.8,25.0,25.0,2.8,4.5
,,,,,196.222455,187.0,95.3,25.0,25.0,2.8,4.5
,,,,,200.83246599999998,193.0,96.1,25.0,25.0,2.8,4.5
,,,,,196.078431,170.0,86.7,25.0,25.0,2.8,4.5
197.0,158.0,80.20304569,,,,,,25.0,25.0,2.8,4.3
197.0,170.0,86.29441624,,,,,,25.0,25.0,2.8,4.3
197.0,165.0,83.75634518,,,,,,25.0,25.0,2.8,4.3
197.0,183.0,92.89340102,,,,,,25.0,25.0,2.8,4.3
190.0,150.0,78.94736842,,,,,,25.0,25.0,2.7,4.5
205.0,174.0,84.87804878,,,,,,25.0,25.0,2.7,4.6
210.0,185.0,88.09523809999999,,,,,,25.0,25.0,2.7,4.7
,,,,,,,,25.0,25.0,2.7,4.8
210.0,75.0,35.71428571,,,,,,60.0,60.0,2.7,4.5
225.0,170.0,75.55555556,,,,,,60.0,60.0,2.7,4.5
200.0,165.0,82.5,135.0,67.5,,,,25.0,25.0,2.7,4.5
200.0,182.0,91.0,170.0,85.0,,,,25.0,25.0,2.7,4.5
175.0,125.0,71.42857143,85.0,48.57142857,,,,,,,
,,,,,,,,,,,
200.0,188.0,94.0,165.0,82.5,,,,,,,
,,,,,,,,,,,
190.0,167.0,87.89473684,135.0,71.05263158,,,,25.0,25.0,2.8,4.3
188.0,172.0,91.4893617,138.0,73.40425532,,,,25.0,25.0,2.8,4.3
185.0,165.0,89.18918919,135.0,72.97297297,,,,25.0,25.0,2.8,4.3
182.0,177.0,97.25274725,155.0,85.16483516,,,,25.0,25.0,2.8,4.3
200.0,150.0,75.0,,,,,,27.0,27.0,2.8,4.3
200.0,180.0,90.0,,,,,,27.0,27.0,2.8,4.3
190.0,185.0,97.36842105,,,,,,27.0,27.0,2.8,4.3
190.0,176.0,92.63157895,,,,,,27.0,27.0,2.8,4.3
,,,,,175.0,108.0,61.71428571,,,2.8,4.3
,,,,,185.0,177.0,95.67567568,,,2.8,4.3
175.0,175.0,100.0,173.0,98.85714286,,,,25.0,25.0,2.8,4.25
178.0,178.0,100.0,174.0,97.75280899,,,,25.0,25.0,2.8,4.25
,,,,,148.0,130.0,87.83783784,-20.0,-20.0,2.8,4.25
,,,,,130.0,148.0,113.8461538,-20.0,-20.0,2.8,4.25
,,,,,191.47,109.62,57.25178879,,,2.8,4.3
,,,,,190.1,178.64,93.9715939,,,2.8,4.3
,,,,,187.34,169.0,90.2103128,,,2.8,4.3
,,,,,186.6,168.0,90.03215434,,,2.8,4.3
,,,,,187.81,160.0,85.19248176,,,2.8,4.3
174.5,,,,,,,,,,2.8,4.5
176.06,,,,,,,,,,2.8,4.5
,,,,,,,,,,2.8,4.5
,,,,,,,,,,2.8,4.5
186.0,,,150.6,80.96774194,,,,,,3.0,4.3
186.3,,,160.0,85.88298443,,,,,,3.0,4.3
191.0,,,172.0,90.05235602,,,,,,3.0,4.3
186.5,,,150.0,80.42895442,,,,,,3.0,4.3
,,,,,147.23,,,,,2.7,4.4
,,,,,202.7,,,,,2.7,4.4
,,,,,153.0,,,,,2.7,4.4
,,,,,189.74,,,,,2.7,4.4
,,,,,216.8,187.1,86.3,,,2.0,4.8
,,,,,234.2,205.16,87.6,,,2.0,4.8
,,,,,237.4,216.27,91.1,,,2.0,4.8
,,,,,249.4,232.94,93.4,,,2.0,4.8
175.8,,,142.9,81.28555176,,,,25.0,25.0,2.7,4.3
179.3,,,156.7,87.39542666,,,,25.0,25.0,2.7,4.3
182.6,,,165.6,90.69003286,,,,25.0,25.0,2.7,4.3
177.0,,,148.5,83.89830508,,,,25.0,25.0,2.7,4.3
184.7,,,141.5,76.61072009,,,,25.0,25.0,2.7,4.4
196.5,,,137.7,70.07633588,,,,25.0,25.0,2.7,4.5
193.7,,,138.3,71.39907073,,,,50.0,50.0,2.7,4.3
