0,1,2,3,4,5,6
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
2.8726,14.1896,1.646545522,101.4030685,,,
,,,,,,
,,,,,,
,,,,,,
2.8729,14.1885,1.646245954,101.4163871,,,
2.8734,14.1871,1.645797081,101.4416808,,,
2.8737,14.1863,1.645532473,101.4571427,,,
2.8751,14.1985,1.646145641,101.6433586,,,
2.8756,14.1927,1.645187091,101.6371795,,,
2.8759,14.1889,1.644575032,101.631169,,,
2.8761,14.1861,1.644136157,101.6252467,,,
,,,,,,
,,,,,,
2.8688,14.1837,1.648040993,101.0929135,,,
2.8739,14.2072,1.647842073,101.6207582,,,
2.8762,14.2181,1.64778759,101.8615687,,,
2.8731,14.1863,1.645876115,101.4147807,,,
2.8732,14.186,1.645784027,101.4196956,,,
2.8731,14.1859,1.645829708,101.4119211,,,
2.8726,14.1861,1.646139386,101.3780564,,,
2.87594,14.1977,1.645572114,101.6970299,1.89,,
2.87887,14.2044,1.644673084,101.9524422,1.4,,
2.88035,14.2078,1.644221478,102.0817234,1.28,,
2.88159,14.2098,1.643745293,102.1840175,1.26,,
2.8749,14.2002,1.646457268,101.641386,1.22,,
2.8773,14.2262,1.648096016,101.9975718,1.08,,
2.872954,14.199643,1.647507873,101.4998504,2.03226,,
2.878856,14.230316,1.647681811,102.1374616,1.94545,,
2.879934,14.231806,1.647237518,102.2246699,1.76528,,
2.880388,14.23324,1.647143834,102.2672058,1.4943,,
2.882742,14.240798,1.64667274,102.4888238,1.41264,,
2.86991,14.20054,1.649359504,101.291277,1.48809,,
2.87666,14.21925,1.647657353,101.9023949,1.51356,,
2.87084,14.20788,1.649677446,101.4093244,1.52509,,
2.87924,14.24974,1.649710803,102.3041629,1.54482,,
2.87121,14.20621,1.649270981,101.423543,2.195,,
2.86898,14.19296,1.649013471,101.1716078,2.367,,
2.86885,14.21622,1.651790787,101.3282285,2.386,,
2.8688,14.19893,1.649810606,101.2014638,2.344,,
2.8716,14.2047,1.648871709,101.4403145,2.296,,
2.8691,14.1817,1.647636309,101.0998001,,,
2.8698,14.1924,1.648477246,101.2254549,,,
2.8703,14.195,1.648492028,101.2792812,,,
2.8689,14.1914,1.6488782,101.1548462,,,
2.8697,14.1941,1.648732156,101.2305247,,,
2.8631,14.1631,1.648923661,100.5453493,2.0026,,
2.8642,14.1658,1.648604613,100.6418053,1.9726,,
2.8641,14.1651,1.648580706,100.629805,1.953,,
2.8643,14.165,1.648453956,100.6431489,1.9271,,
2.8688,14.1793,1.647529745,101.0615529,2.26,113.2,2
2.8668,14.185,1.649341891,100.9612603,2.29,104.6,2.6
2.8663,14.1871,1.649873821,100.9409875,2.23,79.7,3.7
2.8659,14.1881,1.650220408,100.9199293,2.22,78.5,4.8
2.8668,14.185,1.649341891,100.9612603,2.29,104.6,2.6
2.8663,14.1871,1.649873821,100.9409875,2.23,79.7,3.7
2.8754,14.19806,1.645922886,101.6614209,,,
2.8755,14.19849,1.645915493,101.6715713,,,
2.87569,14.19868,1.645828769,101.6863685,,,
2.87599,14.19985,1.645792695,101.7159669,,,
2.87775,14.20708,1.645623606,101.892351,,,
