0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
80,10,10,92.3555,100,0.05,Mg,24.305,12,1.31,3,737.7,0,145,72,2,550,4,780,12,,,2.8688,14.19893,1.649810606,101.2014638,2.344,,
80,10,10,92.3555,100,0.06,Mg,24.305,12,1.31,3,737.7,0,145,72,2,550,4,780,12,,,2.8716,14.2047,1.648871709,101.4403145,2.296,,
80,10,10,92.3555,110,,,,,,,,,,,,470,6,780,15,,,2.8691,14.1817,1.647636309,101.0998001,,,
80,10,10,92.3555,110,1,Y,88.90585,39,1.22,1,600,29.6,212,90,3,470,6,780,15,,,2.8698,14.1924,1.648477246,101.2254549,,,
80,10,10,92.3555,110,2,Y,88.90585,39,1.22,1,600,29.6,212,90,3,470,6,780,15,,,2.8703,14.195,1.648492028,101.2792812,,,
80,10,10,92.3555,110,3,Y,88.90585,39,1.22,1,600,29.6,212,90,3,470,6,780,15,,,2.8689,14.1914,1.6488782,101.1548462,,,
80,10,10,92.3555,110,4,Y,88.90585,39,1.22,1,600,29.6,212,90,3,470,6,780,15,,,2.8697,14.1941,1.648732156,101.2305247,,,
80,10,10,92.3555,105,,,,,,,,,,,,480,6,750,16,,,2.8631,14.1631,1.648923661,100.5453493,2.0026,,
80,10,10,92.3555,105,,,,,,,,,,,,480,6,750,16,,,2.8642,14.1658,1.648604613,100.6418053,1.9726,,
80,10,10,92.3555,105,,,,,,,,,,,,480,6,750,16,,,2.8641,14.1651,1.648580706,100.629805,1.953,,
80,10,10,92.3555,105,,,,,,,,,,,,480,6,750,16,,,2.8643,14.165,1.648453956,100.6431489,1.9271,,
90,0,10,92.731,101,,,,,,,,,,,,,,600,10,,2,2.8688,14.1793,1.647529745,101.0615529,2.26,113.2,2
90,0,10,92.731,101,2,Al,26.982,13,1.61,1,577.5,41.8,118,53,3,,,600,10,,2,2.8668,14.185,1.649341891,100.9612603,2.29,104.6,2.6
90,0,10,92.731,101,4,Al,26.982,13,1.61,1,577.5,41.8,118,53,3,,,600,10,,2,2.8663,14.1871,1.649873821,100.9409875,2.23,79.7,3.7
90,0,10,92.731,101,6,Al,26.982,13,1.61,1,577.5,41.8,118,53,3,,,600,10,,2,2.8659,14.1881,1.650220408,100.9199293,2.22,78.5,4.8
90,0,10,92.731,101,2,Al,26.982,13,1.61,1,577.5,41.8,118,53,3,,,720,10,,2,2.8668,14.185,1.649341891,100.9612603,2.29,104.6,2.6
90,0,10,92.731,101,4,Al,26.982,13,1.61,1,577.5,41.8,118,53,3,,,720,10,,2,2.8663,14.1871,1.649873821,100.9409875,2.23,79.7,3.7
94,4,2,92.5616,101,,,,,,,,,,,,,,680,10,,,2.8754,14.19806,1.645922886,101.6614209,,,
94,4,2,92.5616,101,,,,,,,,,,,,,,700,10,,,2.8755,14.19849,1.645915493,101.6715713,,,
94,4,2,92.5616,101,,,,,,,,,,,,,,730,10,,,2.87569,14.19868,1.645828769,101.6863685,,,
94,4,2,92.5616,101,,,,,,,,,,,,,,750,10,,,2.87599,14.19985,1.645792695,101.7159669,,,
94,4,2,92.5616,101,,,,,,,,,,,,,,780,10,,,2.87775,14.20708,1.645623606,101.892351,,,
94,4,2,92.5616,101,1,Ta,180.94788,73,1.5,2,761,31,146,72,5,,,680,10,,,2.87506,14.19356,1.645595802,101.6051671,,,
94,4,2,92.5616,101,1,Ta,180.94788,73,1.5,2,761,31,146,72,5,,,700,10,,,2.87508,14.1994,1.646261437,101.6483872,,,
94,4,2,92.5616,101,1,Ta,180.94788,73,1.5,2,761,31,146,72,5,,,730,10,,,2.8752,14.20203,1.646497635,101.6757014,,,
94,4,2,92.5616,101,1,Ta,180.94788,73,1.5,2,761,31,146,72,5,,,750,10,,,2.87532,14.20213,1.646440512,101.6849047,,,
94,4,2,92.5616,101,1,Ta,180.94788,73,1.5,2,761,31,146,72,5,,,780,10,,,2.8761,14.20504,1.646331259,101.7609275,,,
100,0,0,92.707,101,,,,,,,,,,,,,,650,10,,,2.875175,14.796908,1.715479116,105.9327319,,75.1,1.7
100,0,0,92.707,101,,,,,,,,,,,,,,680,10,,,2.875224,14.198863,1.646116732,101.6547251,,97.4,
100,0,0,92.707,101,,,,,,,,,,,,,,700,10,,,2.875344,14.201038,1.646300176,101.6787835,,132.6,2.55
100,0,0,92.707,101,,,,,,,,,,,,,,730,10,,,2.876077,14.201723,1.645959989,101.7355383,,167.9,
100,0,0,92.707,101,,,,,,,,,,,,,,750,10,,,2.87663,14.200253,1.645473233,101.7641301,,141,2.45
100,0,0,92.707,101,,,,,,,,,,,,,,770,10,,,2.87697,14.198532,1.645079372,101.7758511,,203,
100,0,0,92.707,101,,,,,,,,,,,,,,800,10,,,2.878883,14.196934,1.643801201,101.8997751,,220.3,1.95
100,0,0,92.707,101,0.5,Al,26.982,13,1.61,1,577.5,41.8,118,53,3,,,650,10,,,2.875166,14.197983,1.646047915,101.644324,,61.1,2.5
100,0,0,92.707,101,0.5,Al,26.982,13,1.61,1,577.5,41.8,118,53,3,,,680,10,,,2.875257,14.199633,1.646187106,101.6625714,,92.5,
100,0,0,92.707,101,0.5,Al,26.982,13,1.61,1,577.5,41.8,118,53,3,,,700,10,,,2.875376,14.200647,1.646236527,101.6782471,,130.6,2.6
100,0,0,92.707,101,0.5,Al,26.982,13,1.61,1,577.5,41.8,118,53,3,,,730,10,,,2.876093,14.201281,1.645899605,101.7335039,,163.6,
