Id,Ni,Mn,Co,Li,dapant,dopant_ratio,tem, holding_time
20,100,0,0,101,Ta,3,700,10
21,100,0,0,101,Ta,3,730,10
22,100,0,0,101,Ta,3,750,10
23,100,0,0,101,Ta,3,770,10
24,100,0,0,101,Ta,3,800,10
25,100,0,0,101,Mo,1,650,10
26,100,0,0,101,Mo,1,680,10
27,100,0,0,101,Mo,1,700,10
28,100,0,0,101,Mo,1,730,10
29,100,0,0,101,Mo,1,750,10
30,100,0,0,101,Mo,1,770,10
31,100,0,0,101,Mo,1,800,10
32,90,4,5,102,Mg,1,480,3
33,90,3.5,5,102,Mg,1,480,3
34,90,3,5,102,Mg,1,480,3
35,90,5,4,102,Mg,1,480,3
36,80,4,4,105,Zr,2,800,10
38,90,5,5,103,Sb,3,730,10
40,90,5,5,102,Al,5,720,15
41,80,15,5,105,Na,1,750,12
42,80,15,5,105,Na,2,750,12
43,80,15,5,105,Na,5,750,12
44,90,5,5,105,F,1,750,12
45,90,5,5,105,F,2,750,12
46,90,5,5,105,F,4,750,12
47,70,30,0,102,Cl,2,800,10
48,70,30,0,102,Cl,10,800,10
49,70,30,0,102,Cl,15,800,10
50,80,1,1,105,Ca,2,800,12
51,80,1,1,105,Ca,4,800,12
52,80,1,1,105,Ca,6,800,12
53,80,1,1,105,Ca,8,800,12
54,80,1,1,105,Mg,1,780,12
55,80,1,1,105,Mg,3,780,12
56,80,1,1,105,Mg,5,780,12
57,80,1,1,105,Mg,6,780,12
58,81.5,15,3.5,105,Zr,0.5,750,12
59,81.5,15,3.5,105,Zr,1,750,12
60,81.5,15,3.5,105,Zr,5,750,12
61,88,2.5,9.5,105,Al,1,760,16
62,88,2.5,9.5,105,Al,2,760,16
63,88,2.5,9.5,105,Al,3,760,16
64,90,5,5,101,B,0.4,750,10
65,90,5,5,101,B,1,750,10
66,100,0,0,105,Cr,5,800,12
67,100,0,0,105,Cr,10,800,12
68,100,0,0,105,Cr,15,800,12
69,100,0,0,105,Cr,20,800,12
70,80,1,1,105,Ce,0.5,750,12
71,80,1,1,105,Ce,1,750,12
72,80,1,1,105,Ce,2,750,12
73,89.7,5,5,101,Sn,3,750,10
74,90,0,10,105,Ti,3,750,12
75,90,0,10,105,Ti,5,750,12
76,90,0,10,105,Ti,7,750,12
77,90,0,10,105,Ti,9,750,12
78,60,20,20,108,Nb,0.5,870,15
79,60,20,20,108,Nb,1,870,15
80,60,20,20,108,Nb,2,870,15
81,80,10,10,105,Mg,1.5,750,10
82,80,10,10,105,Al,"1,5",750,10
83,80,10,10,105,Si,1.5,750,10
84,80,10,10,105,Ti,"1,5",750,10
85,80,10,10,105,Zr,"1,5",750,10
86,80,10,10,105,Ta,"1,5",750,10
2,94,0,6,101,Mg,0.02,680,15
3,92,36,44,101,Al,1,750,10
4,92,36,44,101,Nb,1,750,10
6,90,10,0,105,Nb,0.5,770,20
7,90,10,0,105,Nb,1,770,20
8,90,10,0,105,Nb,2,770,20
9,80,10,10,105,Br,5,775,15
10,80,10,10,105,Cl,5,775,15
11,80,10,10,105,F,5,775,15
13,80,7,10,105,Mg,3,850,12
14,80,7,10,105,Cu,3,850,12
18,90,5,5,104,Mo,0.5,760,10
19,90,5,5,104,Mo,1,760,10
20,90,5,5,104,Mo,1.5,760,10
21,0.76,0.14,0.09,105,Al,1,790,12
22,0.75,0.14,0.09,105,Al,2,790,12
23,90,0,10,102,La,0.003,730,10
24,83,5,12,105,Nb,1,730,12
25,89.9,5,5,101,W,0.5,770,10
26,89.6,4.7,4.7,101,W,1,770,10
27,80,10,10,105,Mg,0.03,780,12
28,80,10,10,105,Sc,2.5,800,12
29,80,10,10,105,Sc,5,800,12
30,80,10,10,105,Sc,7.5,800,12
